,appid,name,release_date
0,1428680,Abiko The Miko 2,"Oct 7, 2020"
1,740240,Snake Eyes Dungeon,"Dec 21, 2017"
2,663300,Enlightenment,"Jul 24, 2018"
3,1687130,The Dead Rooms,"Jun 7, 2022"
4,1307730,Rogue Robots,"Jun 12, 2020"
5,1713770,Fracture Hell,"Aug 24, 2021"
6,537800,Bomber Crew,"Oct 19, 2017"
7,1334650,Hell Shuffle,"Feb 4, 2021"
8,1688350,Wastelander,2022
9,1824130,Outside the Window,♥ 2022 ♥
10,1340950,Do Noob Corporate-slave Dream of Boss's Ass?,"Oct 3, 2020"
11,1625450,Muck,"Jun 5, 2021"
12,1454270,Desert Pirates,2022
13,1793890,SHOOT. KILL. REPEAT,"Aug 16, 2022"
14,591390,a nifty game,"Sep 1, 2017"
15,1820320,神徒,"Jan 21, 2022"
16,1181600,Jetboard Joust,"Oct 23, 2020"
17,1501410,Dwarf Journey,"Mar 5, 2021"
18,965830,Deported: Drain the Swamp,"Nov 5, 2018"
19,1396350,Anamnesis,"Sep 22, 2020"
20,698260,Star Shelter,"Oct 23, 2018"
21,1853420,"METALLIC CHILD x Sakuna: Of Rice and Ruin Crossover ""Of Rice and Cores""","Mar 30, 2022"
22,1403990,Paths & Danger,"Apr 15, 2022"
23,980210,HordeCore,"Mar 2, 2022"
24,1845370,Dungeonball,"Dec 13, 2021"
25,588950,Kingsway,"Jul 18, 2017"
26,941140,Maze Slaughter,In Development
27,408960,Zombasite,"Aug 23, 2016"
28,1251040,Aegis Descent,"July 8, 2022"
29,1554970,Rogue Spirit,"Sep 1, 2021"
30,332530,Shutshimi,"Aug 25, 2015"
31,1962554,怀旧版三国志Idle RPG-无上神剑DLC,"Jun 8, 2022"
32,1284730,Successor,Coming 2023
33,1483670,Pagan Grounds,Q2 2021
34,1530130,Billiards Dungeon,"Jul 30, 2021"
35,1309490,团长别生气,"Aug 5, 2021"
36,1252710,Cardaclysm,"Feb 26, 2021"
37,1070320,Ring the City,"Jun 30, 2019"
38,1259270,Hyperspace Dogfights Deck Crew Edition,"Mar 9, 2020"
39,1929300,Ninjas vs Samurais Card Chronicles: Blades of the Shinigami,COMING SOON
40,633130,Nongünz,"May 19, 2017"
41,1000080,Zengeon,"Jun 24, 2019"
42,1146910,Atomorf2,"Sep 17, 2019"
43,1694320,Nilia,"Sep 12, 2021"
44,1495670,Leaper,"Dec 22, 2020"
45,497800,Golden Krone Hotel,"Oct 26, 2017"
46,1209410,King of Seas,"May 25, 2021"
47,1494780,Mage Mountain,"Nov 11, 2021"
48,1419140,Little Big Monsters,"Oct 22, 2020"
49,1705770,Escape the Unknown,"Apr 25, 2022"
50,1952930,Soul Wargame,即将推出
51,315320,Skilltree Saga,"Dec 4, 2014"
52,1022980,Ostranauts,"Sep 10, 2020"
53,1221230,Derange,"May 28, 2020"
54,369550,Blacksea Odyssey,"Jun 1, 2016"
55,1684080,Toroom,"Jul 17, 2021"
56,1681840,Summoners Fate,"Jun 20, 2022"
57,1885990,魔物的迷宫探险,"Apr 1, 2022"
58,1716760,Trinity Archetype,Coming Soon - 2022
59,1413090,Yoli TD,"Sep 28, 2021"
60,670960,Gangs of Space - Panther Pack,"Aug 10, 2017"
61,1998450,二分之一,"Sep 23, 2022"
62,1792730,Imbalance,2023
63,512900,Streets of Rogue,"Jul 12, 2019"
64,1840880,Freaked Fleapit,Coming Soon
65,1730150,Captain Jackson,"Oct 26, 2021"
66,999310,THE NED BALLS,"Jan 24, 2019"
67,371970,Barony,"Jun 23, 2015"
68,1126030,Orbis Sepia: The End of Worlds,Q3 2020
69,808010,Critadel,"Oct 12, 2021"
70,1891920,Sandream,"Dec 28, 2022"
71,943140,Sparklite,"Nov 14, 2019"
72,250580,Paranautical Activity: Deluxe Atonement Edition,"Oct 20, 2014"
73,445870,Phantom Trigger,"Aug 10, 2017"
74,527230,For The King,"Apr 19, 2018"
75,17140,Hinterland,"Sep 30, 2008"
76,778050,Revenge of the Headless,"Apr 3, 2018"
77,1173310,Lab 7: Cold Nights,"May 6, 2020"
78,1204860,REFUGE,"7 Jan, 2020"
