,appid,positive_reviews,negative_reviews
0,10,197122,5081
1,393380,95418,13059
2,1428680,1,1
3,740240,32,32
4,663300,298,157
5,1687130,0,2
6,1307730,5,2
7,1713770,4,0
8,537800,9588,1322
9,1334650,32,2
10,1688350,0,0
11,1824130,0,0
12,1340950,3,0
13,1625450,116798,6528
14,1454270,0,0
15,1793890,0,0
16,591390,2,0
17,1820320,32,9
18,1181600,45,6
19,1501410,222,12
20,965830,50,7
21,1396350,4,0
22,698260,310,80
23,1853420,3,0
24,1403990,13,11
25,980210,73,25
26,1845370,3,0
27,588950,1211,108
28,941140,0,0
29,408960,143,41
30,1251040,0,0
31,1554970,87,22
32,332530,104,54
33,1962554,0,0
34,1284730,0,0
35,1483670,0,0
36,1530130,9,1
37,1309490,74,32
38,1252710,292,141
39,1070320,90,35
40,1259270,0,0
41,1929300,0,0
42,633130,252,164
43,1000080,1009,437
44,1146910,17,2
45,1694320,2,0
46,1495670,28,12
47,497800,228,13
48,1209410,343,245
49,1494780,2,0
50,1419140,1,0
51,1705770,0,0
52,1952930,0,0
53,315320,56,118
54,1022980,412,126
55,1221230,30,8
56,369550,162,38
57,1684080,87,15
58,1681840,53,5
59,1885990,2,0
60,1716760,0,0
61,1413090,26,0
62,670960,1,0
63,1998450,0,0
64,1792730,0,0
65,512900,15106,550
66,1840880,0,0
67,1730150,6,0
68,999310,8,5
69,371970,3157,273
70,1126030,0,0
71,808010,146,25
72,1891920,0,0
73,943140,266,76
74,250580,966,450
75,445870,52,30
76,527230,24746,3054
77,17140,165,48
78,778050,42,11
79,1173310,25,1
80,1204860,1,9
81,1608610,3,0
82,1844460,0,0
83,681280,10685,661
84,1518690,42,2
85,1603590,0,0
86,1805680,0,0
87,1670010,26,5
88,1877650,0,0
89,1383490,17,5
90,1255530,0,0
91,1348430,6,0
92,561510,17,2
93,1335350,2,0
94,573780,80,37
95,1755620,0,0
96,1919040,56,14
97,2008270,0,0
98,1193590,78,9
99,697900,87,17
100,1235800,35,1
101,1842730,33,4
102,1221990,32,8
103,1990110,0,0
104,790030,1,0
105,1677650,4,0
106,965880,4,1
107,1969000,0,0
108,1826880,0,0
109,590380,13663,823
110,1977030,22,2
111,1640790,0,0
112,386340,83,30
113,1394400,1,4
114,1848240,2,0
115,1491480,1,0
116,711590,0,0
117,1802810,0,0
118,391140,275,36
119,421140,12,8
120,1639080,0,0
121,1656050,0,0
122,1972440,1153,87
123,1655210,1,1
124,2022850,0,0
125,1530750,244,41
126,1866880,0,0
127,1872830,0,0
128,624690,59,16
129,1385580,0,0
130,1030410,14,7
131,1714080,30,0
132,1523220,3,2
133,1311240,0,0
134,364740,17,2
135,1571130,0,0
136,1301870,8,0
137,262810,90,73
138,1372410,0,0
139,1121580,93,62
140,1544110,3,0
141,1812960,28,5
142,1950820,0,0
143,1432910,255,84
144,610130,155,51
145,827220,35,13
146,1767590,2,0
147,1980350,154,36
148,1059640,4,0
149,1477930,0,0
150,838110,122,17
151,330270,172,113
152,1530980,0,0
153,1485590,0,0
154,932210,27,10
155,1760670,0,3
156,901000,3,1
157,1552620,0,0
158,1178790,447,121
159,1197100,6,5
160,1626160,0,0
161,1883260,33,0
162,1562740,2,0
163,1258800,0,0
164,1756960,9,0
165,1435160,24,0
166,1868050,0,0
167,1730380,1,0
168,1797260,0,0
169,1988600,13,2
170,381900,102,28
171,1266820,215,143
172,1714860,3,5
173,856990,147,62
174,1896710,20,1
175,1906470,0,0
176,1440030,0,0
177,1448070,2,0
178,1335300,16,7
179,1926060,0,0
180,1680200,0,0
181,1463100,0,0
182,1960680,0,0
183,387060,154,31
184,2010740,2,0
185,718590,1510,460
186,1468800,4,4
187,1753890,6,0
188,2013080,0,0
189,1988960,0,0
190,1719180,104,1
191,682790,6,7
192,1454730,0,0
193,1486990,0,0
194,1830070,0,0
195,405550,59,12
196,1626510,0,0
197,1802100,0,0
198,269310,621,298
199,816990,46,21
200,1412960,0,0
201,1184680,0,0
202,841320,10,4
203,1580040,2,0
204,1968140,1,2
205,1155420,46,16
206,336940,233,99
207,858820,10521,2975
208,1582620,681,557
209,1253860,136,65
210,2025000,0,0
211,1776560,9,1
212,1566200,0,0
213,872680,162,53
214,1825340,26,1
215,414950,107,44
216,597040,29,29
217,1404960,13,1
218,861250,876,172
219,585020,987,204
220,1365810,0,0
221,403830,315,16
222,1093790,45,6
223,1475460,170,20
224,554710,19,4
225,1494810,0,0
226,1681460,0,0
227,736710,23,6
228,1368480,1,3
229,948320,79,22
230,1809110,0,0
231,1907000,0,0
232,1357190,0,2
233,299600,165,118
234,1160020,152,8
235,837200,31,10
236,1304810,19,1
237,787350,0,0
238,1917460,0,0
239,1525490,42,9
240,1418670,3,3
241,1419350,15,11
242,383230,1629,563
243,1929360,224,12
244,2050560,0,0
245,1328530,358,28
246,1203360,257,59
247,1262060,218,27
248,1705150,0,0
249,1352450,1,0
250,1821060,6,0
251,1047950,29,6
252,947290,22,9
253,1461630,24,2
254,1985550,0,0
255,463430,5,6
256,1454010,91,4
257,1156060,0,0
258,861540,7184,794
259,1440600,6,0
260,725040,32,14
261,2050400,11,2
262,1296700,33,1
263,265000,538,103
264,680030,50,10
265,937870,28,10
266,1847480,0,0
267,603530,609,74
268,1183010,0,0
269,1475140,13,4
270,1565180,1,1
271,843590,29,0
272,848220,0,0
273,1062340,183,124
274,1481630,13,0
275,1635800,12,10
276,997020,0,1
277,1970520,9,1
278,1516130,0,0
279,1790507,0,0
280,651670,1761,295
281,1694740,1,0
282,1497180,15,17
283,665840,15,2
284,1218940,52,12
285,1389760,0,0
286,1202140,6,1
287,1690650,40,11
288,632100,22,13
289,551860,773,263
290,241760,181,80
291,2023630,10,0
292,456660,23,35
293,1700930,0,0
294,1487390,1201,700
295,1534980,163,8
296,1625280,3,0
297,1305430,0,0
298,1912460,62,5
299,1275210,17,12
300,1709280,0,0
301,1592950,0,6
302,693800,246,199
303,1037940,44,8
304,1167680,333,35
305,1837780,3,1
306,1184760,203,29
307,629340,13,1
308,1653980,8,5
309,1960330,0,0
310,1557180,0,0
311,1145290,84,59
312,1478310,9,3
313,1090910,4,1
314,444940,264,48
315,370870,251,142
316,1012880,7410,473
317,1484720,1798,96
318,1601740,0,0
319,1510840,0,0
320,318230,1052,273
321,1342810,31,23
322,454030,26,18
323,946610,219,15
324,1364240,1,0
325,1169690,142,56
326,1348300,1962,265
327,1962610,0,0
328,1198900,5,0
329,1582900,14,5
330,671470,5,0
331,1626600,34,12
332,1813110,0,0
333,1162860,0,0
334,1035310,15,7
335,546430,1381,449
336,1073490,132,29
337,699920,653,127
338,982040,54,9
339,1157100,1,0
340,666570,633,138
341,1902900,1,1
342,1672920,301,37
343,1408590,7,2
344,1101910,455,93
345,1144760,4,5
346,1776860,1,0
347,1163920,0,0
348,1137460,6750,1399
349,1831520,1,0
350,1694920,0,0
351,368680,125,17
352,869410,0,0
353,732370,2883,393
354,1795390,8,1
355,1916850,57,8
356,1114870,164,19
357,974370,33,15
358,575830,101,71
359,1733030,22,3
360,1695280,0,0
361,1981710,18,3
362,359960,198,71
363,1397130,0,0
364,1827760,11,0
365,1304780,63,25
366,1645120,0,0
367,1767550,0,0
368,1758460,0,0
369,1439120,0,0
370,1497510,7,1
371,1720160,42,8
372,1515610,5,1
373,1989190,14,2
374,1828090,1,2
375,730860,35,4
376,1267210,0,0
377,1790700,4,5
378,570980,421,56
379,540100,133,72
380,1499220,31,0
381,1133310,2,3
382,1626850,0,0
383,1459360,109,28
384,1336230,5,0
385,1926660,4,0
386,1450140,0,0
387,1966400,0,0
388,1724120,26,1
389,1886960,0,0
390,1620800,9,2
391,1797500,0,0
392,1707630,0,0
393,1594460,0,0
394,1848200,38,4
395,1926070,0,0
396,1339640,135,21
397,1973450,4,0
398,946650,161,38
399,1805460,0,0
400,1361580,24,5
401,1083850,7,13
402,667550,21,2
403,1060160,32,5
404,1494050,0,7
405,1611830,48,13
406,1221620,21,26
407,1755870,33,4
408,1456260,3,0
409,1795100,0,0
410,295590,119,95
411,1266380,4,0
412,1893590,2,0
413,1251210,295,181
414,1632330,26,7
415,1790510,0,0
416,1934850,0,0
417,418210,70,6
418,1447590,0,0
419,1123770,4857,709
420,264280,361,225
421,863970,7,1
422,624930,0,0
423,1731860,0,3
424,366910,1054,685
425,294040,1046,366
426,610310,149,29
427,1595000,27,11
428,1515580,0,0
429,1331650,5,0
430,1658930,162,11
431,1559460,14,4
432,992300,20156,2804
433,751940,3,0
434,1560260,5,4
435,1436650,123,35
436,1581790,0,0
437,1234580,2,1
438,1845200,0,0
439,1769170,425,22
440,1608010,1,2
441,220460,709,161
442,1563820,19,4
443,1623060,0,0
444,1828540,0,0
445,1869310,14,0
446,1615740,0,0
447,1895130,485,254
448,1888000,9,3
449,1589570,0,0
450,1121650,30,5
451,659540,830,24
452,1341220,69,9
453,1531200,2,0
454,1289810,1193,59
455,1571880,27,1
456,1532350,15,13
457,1383510,45,3
458,689700,118,28
459,1941140,0,0
460,698110,18,10
461,1243200,140,29
462,1040460,181,24
463,1581170,43,10
464,672440,0,0
465,1729380,0,0
466,1840710,0,0
467,1201910,5,13
468,1266840,2877,613
469,1204970,3,2
470,274500,4232,226
