appid,positive_reviews,negative_reviews
80310,1417,158
10,190889,4884
20,5313,880
30,4934,546
50,12880,652
70,67068,2392
130,9191,882
60,3630,830
220,132052,3532
240,127867,5111
8400,742,82
4500,25580,1125
380,18428,878
420,26580,874
7940,15158,1142
27800,48,20
1250,59559,2900
6000,11581,534
20530,1827,247
32370,22581,2224
20500,6652,702
32440,14975,539
41700,19915,652
27810,49,11
8190,42969,4318
35140,36845,1420
70300,8299,321
40800,27962,1498
620,273587,3348
105600,868954,18222
20920,64044,6956
98200,2083,447
8980,26163,1955
55150,17060,1482
8930,174154,6942
28050,6459,46
72850,290745,15774
207170,5232,326
207610,54177,1702
8800,3019,113
212680,59878,2526
108200,3650,402
3830,12915,638
48000,38440,2625
57300,26982,1514
204060,1892,549
107100,32926,1495
108710,32638,3254
202750,4595,1933
211420,69359,6423
207570,308,74
202170,15670,917
730,5386566,723437
200260,40714,1765
204360,83458,3277
49520,235769,12011
219150,67822,1823
200510,45702,2669
214560,15205,471
219640,54689,11729
211400,9524,2523
4920,10418,1800
219950,1144,202
214510,8294,956
221640,22153,726
43110,25136,1854
200900,6198,419
219890,14466,737
218230,52715,11531
230410,419311,41108
236390,211506,56175
238960,159905,16076
233860,48179,2556
225140,3863,101
113020,7603,770
224760,12246,1004
234710,5697,873
233270,12431,1538
220200,93272,5235
231160,6460,365
242760,314232,16415
237110,15555,1536
244210,53993,5044
248820,26160,1752
239350,13444,1118
242530,237,127
244730,1465,282
250760,13297,489
251470,2685,146
251730,2832,273
252950,482403,55074
253750,1781,97
254320,1826,210
236450,6700,314
257850,13757,909
258010,645,124
259680,4894,223
94400,6356,768
221910,37778,3145
227300,492085,11836
265930,52326,5907
266010,7506,317
268130,5773,327
239090,387,28
235460,23572,1582
550,559742,14992
271590,1065706,202069
236430,34497,4219
274170,36674,2649
222880,112772,10257
281990,105633,14516
282140,28771,1220
270450,3501,285
286160,45515,1742
287700,64840,6670
290260,454,35
290770,3061,412
294100,119943,2078
201810,40388,4096
295110,46854,32572
237930,26567,1549
301650,728,66
304410,3245,93
8600,2039,369
8660,202,64
26800,7869,499
310560,32315,4536
310790,1167,132
311690,60795,2446
312520,4578,507
314160,18456,3085
314650,5378,221
247080,20121,813
317360,10215,795
241930,66957,5617
321040,11757,1105
322170,157533,10104
322500,25567,2909
323190,67554,6379
327890,4314,1245
332200,4246,352
333640,4449,197
334940,2927,113
257510,23753,1078
250900,179194,4072
230290,15201,662
242680,14698,570
341190,242,17
342610,314,19
266510,9078,995
350780,149,36
350080,12769,1582
355240,247,62
232090,93069,12573
360740,6525,203
367520,190589,5711
368340,11039,649
322330,300327,11695
292030,574949,15221
374320,286365,17443
375750,410,60
381890,96,7
381940,1036,261
387290,48149,2032
253030,5756,378
394510,19029,1699
400450,490,141
365450,18795,1319
393380,82477,11084
404540,1539,200
406290,1843,271
413150,417425,8319
422970,6525,304
427520,130594,1460
210970,11269,1940
359550,885295,128466
432980,266,30
433340,78038,1752
434660,135,10
438140,1253,198
230270,2351,133
447150,1913,106
450220,624,36
450390,4834,245
450500,433,57
455400,1411,122
234630,10612,2922
462620,129,9
375600,995,311
379720,152047,7554
469790,699,15
453170,159,8
471710,23606,2114
274500,4047,206
476240,609,32
480490,34344,3653
494720,461,42
497800,202,11
498470,108,3
501300,22711,1080
508440,76675,1607
