tagid,name,count,browseable,appid
42804,Action Roguelike,1625,True,248820
1716,Roguelike,1595,True,248820
492,Indie,1206,True,248820
1625,Platformer,1094,True,248820
19,Action,1021,True,248820
3964,Pixel Graphics,987,True,248820
1756,Great Soundtrack,831,True,248820
3843,Online Co-Op,807,True,248820
4026,Difficult,752,True,248820
1759,Perma Death,644,True,248820
1685,Co-op,633,True,248820
3871,2D,624,True,248820
3841,Local Co-Op,569,True,248820
3959,Roguelite,546,True,248820
3859,Multiplayer,437,True,248820
122,RPG,368,True,248820
4182,Singleplayer,361,True,248820
4190,Addictive,346,True,248820
4711,Replay Value,267,True,248820
1662,Survival,225,True,248820
1698,Point & Click,151,True,80310
21,Adventure,144,True,80310
3942,Sci-fi,110,True,80310
6052,Noir,106,True,80310
4115,Cyberpunk,104,True,80310
492,Indie,81,True,80310
1742,Story Rich,61,True,80310
3964,Pixel Graphics,60,True,80310
5030,Dystopian ,54,True,80310
5613,Detective,52,True,80310
4166,Atmospheric,46,True,80310
4182,Singleplayer,36,True,80310
4004,Retro,32,True,80310
3871,2D,30,True,80310
1756,Great Soundtrack,22,True,80310
5716,Mystery,8,True,80310
1697,Third Person,5,True,80310
19,Action,5,True,80310
1664,Puzzle,5,True,80310
1100689,Open World Survival Craft,11205,True,242760
1662,Survival,10767,True,242760
1695,Open World,7734,True,242760
1667,Horror,7050,True,242760
1702,Crafting,5793,True,242760
21,Adventure,4987,True,242760
1643,Building,4830,True,242760
3978,Survival Horror,4320,True,242760
3839,First-Person,3996,True,242760
19,Action,3393,True,242760
3834,Exploration,3123,True,242760
3810,Sandbox,2992,True,242760
4166,Atmospheric,2490,True,242760
4182,Singleplayer,2381,True,242760
599,Simulation,2374,True,242760
492,Indie,2114,True,242760
4175,Realistic,2048,True,242760
4345,Gore,2010,True,242760
493,Early Access,1608,True,242760
1659,Zombies,1393,True,242760
5537,Puzzle Platformer,1685,True,48000
492,Indie,1229,True,48000
1664,Puzzle,1043,True,48000
1625,Platformer,1035,True,48000
4342,Dark,952,True,48000
4166,Atmospheric,883,True,48000
21,Adventure,684,True,48000
3871,2D,676,True,48000
4182,Singleplayer,652,True,48000
1667,Horror,581,True,48000
1710,Surreal,311,True,48000
4234,Short,272,True,48000
3798,Side Scroller,253,True,48000
4026,Difficult,227,True,48000
4094,Minimalist,194,True,48000
3968,Physics,190,True,48000
19,Action,182,True,48000
597,Casual,138,True,48000
4145,Cinematic,136,True,48000
7481,Controller,92,True,48000
19,Action,745,True,20
1663,FPS,306,True,20
3859,Multiplayer,257,True,20
1693,Classic,232,True,20
620519,Hero Shooter,213,True,20
1774,Shooter,206,True,20
5711,Team-Based,188,True,20
4155,Class-Based,181,True,20
3839,First-Person,169,True,20
6691,1990's,131,True,20
3916,Old School,106,True,20
1685,Co-op,89,True,20
3878,Competitive,68,True,20
1734,Fast-Paced,61,True,20
4004,Retro,55,True,20
3843,Online Co-Op,51,True,20
4667,Violent,45,True,20
5348,Mod,36,True,20
5708,Remake,35,True,20
4136,Funny,35,True,20
19,Action,5377,True,10
1663,FPS,4797,True,10
3859,Multiplayer,3361,True,10
1774,Shooter,3324,True,10
1693,Classic,2755,True,10
5711,Team-Based,1843,True,10
3839,First-Person,1689,True,10
3878,Competitive,1587,True,10
1708,Tactical,1321,True,10
6691,1990's,1180,True,10
5055,eSports,1173,True,10
1775,PvP,863,True,10
3916,Old School,747,True,10
4168,Military,622,True,10
9,Strategy,606,True,10
1662,Survival,295,True,10
5154,Score Attack,284,True,10
7743,1980s,255,True,10
4376,Assassin,221,True,10
4667,Violent,64,True,10
1663,FPS,879,True,50
19,Action,321,True,50
1693,Classic,250,True,50
3942,Sci-fi,247,True,50
4182,Singleplayer,224,True,50
1774,Shooter,219,True,50
3839,First-Person,186,True,50
1673,Aliens,171,True,50
6691,1990's,132,True,50
21,Adventure,113,True,50
4166,Atmospheric,104,True,50
4168,Military,90,True,50
1742,Story Rich,72,True,50
15954,Silent Protagonist,64,True,50
1756,Great Soundtrack,49,True,50
4345,Gore,37,True,50
1664,Puzzle,34,True,50
1685,Co-op,31,True,50
1669,Moddable,28,True,50
4004,Retro,17,True,50
19,Action,585,True,60
1663,FPS,128,True,60
3859,Multiplayer,103,True,60
1693,Classic,90,True,60
3839,First-Person,78,True,60
3942,Sci-fi,54,True,60
1774,Shooter,52,True,60
1755,Space,42,True,60
4115,Cyberpunk,38,True,60
10397,Memes,31,True,60
1625,Platformer,27,True,60
1721,Psychological Horror,26,True,60
4191,3D,25,True,60
5372,Conspiracy,25,True,60
4004,Retro,23,True,60
3916,Old School,23,True,60
7782,Cult Classic,17,True,60
3878,Competitive,16,True,60
701,Sports,10,True,60
1756,Great Soundtrack,8,True,60
1663,FPS,2223,True,70
3942,Sci-fi,1754,True,70
19,Action,1750,True,70
3859,Multiplayer,1749,True,70
6691,1990's,1748,True,70
4182,Singleplayer,1748,True,70
1774,Shooter,1745,True,70
3839,First-Person,1737,True,70
1742,Story Rich,1732,True,70
1693,Classic,1731,True,70
1673,Aliens,1727,True,70
15954,Silent Protagonist,1726,True,70
4166,Atmospheric,1720,True,70
21,Adventure,1716,True,70
1669,Moddable,1711,True,70
4106,Action-Adventure,1709,True,70
4004,Retro,1702,True,70
4345,Gore,1701,True,70
4026,Difficult,1694,True,70
1775,PvP,1690,True,70
1663,FPS,454,True,130
19,Action,281,True,130
3942,Sci-fi,211,True,130
4182,Singleplayer,190,True,130
1774,Shooter,171,True,130
1673,Aliens,148,True,130
1693,Classic,138,True,130
3839,First-Person,137,True,130
1659,Zombies,90,True,130
21,Adventure,88,True,130
6691,1990's,79,True,130
4234,Short,73,True,130
4166,Atmospheric,68,True,130
15954,Silent Protagonist,48,True,130
1742,Story Rich,43,True,130
1664,Puzzle,22,True,130
1669,Moddable,21,True,130
1756,Great Soundtrack,20,True,130
4004,Retro,18,True,130
3916,Old School,9,True,130
1663,FPS,3853,True,220
19,Action,2737,True,220
3942,Sci-fi,2387,True,220
1693,Classic,2184,True,220
4182,Singleplayer,2108,True,220
1742,Story Rich,1812,True,220
1774,Shooter,1628,True,220
3839,First-Person,1522,True,220
21,Adventure,1302,True,220
5030,Dystopian ,1145,True,220
4166,Atmospheric,1062,True,220
1659,Zombies,964,True,220
15954,Silent Protagonist,948,True,220
3968,Physics,919,True,220
1673,Aliens,883,True,220
1756,Great Soundtrack,875,True,220
1667,Horror,698,True,220
1664,Puzzle,677,True,220
3859,Multiplayer,641,True,220
1669,Moddable,464,True,220
1774,Shooter,5232,True,240
19,Action,3138,True,240
1663,FPS,3102,True,240
3859,Multiplayer,2470,True,240
5711,Team-Based,1656,True,240
3839,First-Person,1450,True,240
1708,Tactical,1308,True,240
3878,Competitive,1299,True,240
1775,PvP,1000,True,240
5055,eSports,906,True,240
4168,Military,739,True,240
1678,War,638,True,240
9,Strategy,509,True,240
1669,Moddable,485,True,240
4182,Singleplayer,386,True,240
4026,Difficult,380,True,240
4166,Atmospheric,294,True,240
1662,Survival,281,True,240
599,Simulation,243,True,240
3810,Sandbox,200,True,240
1773,Arcade,66,True,8400
4758,Twin Stick Shooter,54,True,8400
597,Casual,48,True,8400
4004,Retro,45,True,8400
4885,Bullet Hell,42,True,8400
4182,Singleplayer,36,True,8400
3871,2D,32,True,8400
4255,Shoot 'Em Up,30,True,8400
492,Indie,28,True,8400
1774,Shooter,27,True,8400
1693,Classic,19,True,8400
19,Action,17,True,8400
5547,Arena Shooter,17,True,8400
1714,Psychedelic,15,True,8400
5154,Score Attack,14,True,8400
1756,Great Soundtrack,13,True,8400
7481,Controller,5,True,8400
4166,Atmospheric,1323,True,4500
3835,Post-apocalyptic,1193,True,4500
1695,Open World,1158,True,4500
1663,FPS,1066,True,4500
1662,Survival,868,True,4500
19,Action,664,True,4500
122,RPG,549,True,4500
1774,Shooter,525,True,4500
3978,Survival Horror,522,True,4500
1667,Horror,484,True,4500
3839,First-Person,458,True,4500
4182,Singleplayer,437,True,4500
1693,Classic,413,True,4500
3796,Based On A Novel,353,True,4500
1669,Moddable,340,True,4500
21,Adventure,335,True,4500
3942,Sci-fi,276,True,4500
3934,Immersive,276,True,4500
6276,Inventory Management,244,True,4500
4026,Difficult,225,True,4500
1663,FPS,711,True,380
19,Action,509,True,380
3942,Sci-fi,448,True,380
4182,Singleplayer,386,True,380
3839,First-Person,297,True,380
1742,Story Rich,296,True,380
1774,Shooter,286,True,380
1693,Classic,263,True,380
5030,Dystopian ,222,True,380
21,Adventure,214,True,380
1673,Aliens,211,True,380
1659,Zombies,209,True,380
4242,Episodic,158,True,380
4166,Atmospheric,156,True,380
15954,Silent Protagonist,147,True,380
1756,Great Soundtrack,146,True,380
4234,Short,135,True,380
1664,Puzzle,107,True,380
4145,Cinematic,88,True,380
1669,Moddable,65,True,380
1664,Puzzle,3950,True,400
5537,Puzzle Platformer,2988,True,400
5395,3D Platformer,2332,True,400
3839,First-Person,2331,True,400
4182,Singleplayer,1970,True,400
3942,Sci-fi,1828,True,400
1719,Comedy,1499,True,400
7208,Female Protagonist,1404,True,400
19,Action,990,True,400
4136,Funny,980,True,400
3968,Physics,946,True,400
1742,Story Rich,795,True,400
1693,Classic,768,True,400
1625,Platformer,756,True,400
5794,Science,700,True,400
1663,FPS,601,True,400
4166,Atmospheric,598,True,400
4234,Short,578,True,400
21,Adventure,568,True,400
5923,Dark Humor,548,True,400
1663,FPS,891,True,420
19,Action,657,True,420
3942,Sci-fi,546,True,420
4182,Singleplayer,481,True,420
1774,Shooter,423,True,420
1742,Story Rich,374,True,420
3839,First-Person,368,True,420
1693,Classic,338,True,420
21,Adventure,299,True,420
1673,Aliens,278,True,420
4166,Atmospheric,250,True,420
1659,Zombies,244,True,420
15954,Silent Protagonist,229,True,420
1756,Great Soundtrack,200,True,420
5030,Dystopian ,197,True,420
3835,Post-apocalyptic,182,True,420
4242,Episodic,150,True,420
1664,Puzzle,142,True,420
1667,Horror,129,True,420
3859,Multiplayer,86,True,420
1663,FPS,633,True,7940
19,Action,512,True,7940
3859,Multiplayer,489,True,7940
1774,Shooter,365,True,7940
3839,First-Person,301,True,7940
4182,Singleplayer,296,True,7940
1693,Classic,267,True,7940
4168,Military,229,True,7940
1678,War,216,True,7940
1775,PvP,130,True,7940
1756,Great Soundtrack,116,True,7940
7250,Linear,112,True,7940
5673,Modern,109,True,7940
1685,Co-op,108,True,7940
1742,Story Rich,107,True,7940
